Date,Company,Open,Close,High,Low,Volume
2024-05-31,BAJFINANCE.BSE,6687.4500,6702.5000,6769.8500,6660.5500,35738
2024-05-30,BAJFINANCE.BSE,6790.0000,6615.4500,6796.4500,6596.2500,68510
2024-05-29,BAJFINANCE.BSE,6865.0500,6810.2000,6904.2000,6787.0500,36694
2024-05-28,BAJFINANCE.BSE,6919.9500,6874.5000,6947.1000,6855.6500,31045
2024-05-27,BAJFINANCE.BSE,6865.0000,6893.8500,6956.5000,6811.0000,63136
2024-05-24,BAJFINANCE.BSE,6829.8000,6838.2500,6910.3000,6795.3000,41739
2024-05-23,BAJFINANCE.BSE,6750.7000,6826.2500,6850.0000,6730.0000,47491
2024-05-22,BAJFINANCE.BSE,6780.0000,6747.8500,6780.0000,6730.0000,26824
2024-05-21,BAJFINANCE.BSE,6720.0000,6748.2500,6785.3500,6704.6000,31219
2024-05-17,BAJFINANCE.BSE,6745.0000,6728.1500,6778.5000,6702.4000,18776
2024-05-16,BAJFINANCE.BSE,6700.0000,6745.2000,6759.0000,6625.1000,59177
2024-05-15,BAJFINANCE.BSE,6723.9500,6680.7500,6730.0000,6646.3500,66610
2024-05-14,BAJFINANCE.BSE,6715.0000,6676.9500,6740.0000,6658.6000,26814
2024-05-13,BAJFINANCE.BSE,6698.6500,6715.4000,6742.9000,6620.0000,46767
2024-05-10,BAJFINANCE.BSE,6630.0000,6685.3000,6699.7500,6603.0500,91289
2024-05-09,BAJFINANCE.BSE,6840.0000,6605.4500,6840.0000,6583.6000,118601
2024-05-08,BAJFINANCE.BSE,6863.0000,6800.2000,6879.2000,6787.5500,20609
2024-05-07,BAJFINANCE.BSE,6887.0000,6872.5000,6940.0000,6787.0000,76246
2024-05-06,BAJFINANCE.BSE,7019.9500,6861.0500,7019.9500,6844.9000,84339
2024-05-03,BAJFINANCE.BSE,7350.0000,6932.8000,7400.0000,6909.5000,208302
2024-05-02,BAJFINANCE.BSE,6850.0500,6881.0000,6972.4500,6850.0500,81298
2024-04-30,BAJFINANCE.BSE,6836.8000,6931.0500,6972.4000,6821.6500,104673
2024-04-29,BAJFINANCE.BSE,6839.1500,6827.4000,6839.1500,6710.4500,43786
2024-04-26,BAJFINANCE.BSE,7008.6000,6729.8500,7008.6000,6691.4000,357244
2024-04-25,BAJFINANCE.BSE,7330.0000,7293.9000,7362.9500,7129.3500,27181
2024-04-24,BAJFINANCE.BSE,7285.8500,7327.7000,7417.0000,7250.0500,17956
2024-04-23,BAJFINANCE.BSE,7300.0000,7259.2500,7337.5000,7237.6500,25665
2024-04-22,BAJFINANCE.BSE,7150.4000,7290.7000,7299.0000,7150.4000,82569
2024-04-19,BAJFINANCE.BSE,6849.9500,7122.3000,7150.6000,6811.0500,38168
2024-04-18,BAJFINANCE.BSE,6945.2500,6889.2500,6992.2500,6868.0000,35081
2024-04-16,BAJFINANCE.BSE,7001.3500,6947.3500,7037.0000,6934.0000,63396
2024-04-15,BAJFINANCE.BSE,7081.5000,7075.0000,7198.0000,7061.5500,15603
2024-04-12,BAJFINANCE.BSE,7230.0000,7226.0000,7263.3500,7154.6000,48587
2024-04-10,BAJFINANCE.BSE,7221.0500,7229.1000,7250.9000,7161.4000,24050
2024-04-09,BAJFINANCE.BSE,7215.0000,7192.9000,7234.7500,7125.0000,32314
2024-04-08,BAJFINANCE.BSE,7200.0500,7178.6000,7220.3500,7143.1000,8807
2024-04-05,BAJFINANCE.BSE,7263.9500,7175.2000,7263.9500,7158.0000,32545
2024-04-04,BAJFINANCE.BSE,7325.0500,7282.2000,7345.0000,7257.7500,28862
2024-04-03,BAJFINANCE.BSE,7200.0000,7308.2000,7320.0000,7182.2000,51915
2024-04-02,BAJFINANCE.BSE,7250.0000,7207.6500,7250.0000,7133.8500,18081
2024-04-01,BAJFINANCE.BSE,7269.2500,7249.1000,7340.0000,7220.4500,21651
2024-03-28,BAJFINANCE.BSE,7038.0000,7240.3500,7349.6500,7038.0000,218738
2024-03-27,BAJFINANCE.BSE,6950.0000,7023.2000,7045.0000,6902.3500,80002
2024-03-26,BAJFINANCE.BSE,6710.3000,6910.3500,6943.0000,6710.3000,104295
2024-03-22,BAJFINANCE.BSE,6690.0500,6763.1000,6800.0000,6690.0500,27202
2024-03-21,BAJFINANCE.BSE,6700.6500,6715.7000,6771.8500,6660.0000,26043
2024-03-20,BAJFINANCE.BSE,6600.0500,6647.0500,6729.9000,6600.0500,29864
2024-03-19,BAJFINANCE.BSE,6510.0000,6592.2500,6665.0000,6505.0500,20684
2024-03-18,BAJFINANCE.BSE,6527.3500,6502.6500,6557.0500,6458.0000,43755
2024-03-15,BAJFINANCE.BSE,6386.6000,6513.2000,6578.7000,6360.3500,51876
2024-03-14,BAJFINANCE.BSE,6455.1000,6392.1000,6470.0000,6300.6500,19172
2024-03-13,BAJFINANCE.BSE,6434.1000,6455.2500,6515.0000,6390.0500,22900
2024-03-12,BAJFINANCE.BSE,6412.0000,6434.1000,6483.2500,6343.2000,44397
2024-03-11,BAJFINANCE.BSE,6555.5000,6456.2000,6555.5000,6406.0000,30125
2024-03-07,BAJFINANCE.BSE,6350.0000,6419.3000,6467.3000,6330.5500,104593
2024-03-06,BAJFINANCE.BSE,6326.3500,6311.2500,6347.1500,6190.0000,138896
2024-03-05,BAJFINANCE.BSE,6588.2500,6325.2500,6635.0000,6275.0000,73014
2024-03-04,BAJFINANCE.BSE,6586.3500,6600.4500,6638.0000,6560.0000,24162
2024-03-01,BAJFINANCE.BSE,6519.9500,6571.0000,6607.0000,6503.0000,38718
2024-02-29,BAJFINANCE.BSE,6495.0000,6495.9000,6537.0000,6368.0000,83113
2024-02-28,BAJFINANCE.BSE,6555.2000,6499.9500,6595.0000,6476.4500,22995
2024-02-27,BAJFINANCE.BSE,6664.8000,6555.1500,6664.8000,6493.8000,34890
