Date,Company,Open,Close,High,Low,Volume
2024-05-31,BHARTIARTL.BSE,1378.2500,1371.8500,1387.1000,1337.6000,506750
2024-05-30,BHARTIARTL.BSE,1383.9500,1377.4000,1386.1000,1363.2500,59590
2024-05-29,BHARTIARTL.BSE,1365.1000,1377.2000,1390.1000,1358.4500,35810
2024-05-28,BHARTIARTL.BSE,1389.0000,1370.5500,1389.0000,1367.6000,20050
2024-05-27,BHARTIARTL.BSE,1399.2000,1383.7000,1407.0500,1378.6500,82610
2024-05-24,BHARTIARTL.BSE,1377.0000,1388.6000,1398.0000,1375.0000,258540
2024-05-23,BHARTIARTL.BSE,1350.1500,1373.9500,1377.1500,1342.9500,85040
2024-05-22,BHARTIARTL.BSE,1343.4000,1347.5500,1351.1500,1329.4000,102540
2024-05-21,BHARTIARTL.BSE,1348.0500,1343.9000,1362.0000,1336.5000,131470
2024-05-18,BHARTIARTL.BSE,1348.5500,1349.5000,1359.9500,1341.6500,7000
2024-05-17,BHARTIARTL.BSE,1354.1000,1347.5500,1360.0000,1339.9500,301750
2024-05-16,BHARTIARTL.BSE,1328.0000,1344.9000,1356.7500,1321.3500,353409
2024-05-15,BHARTIARTL.BSE,1280.0000,1311.7500,1317.5500,1280.0000,179879
2024-05-14,BHARTIARTL.BSE,1288.5500,1285.4000,1299.1000,1281.0000,111671
2024-05-13,BHARTIARTL.BSE,1296.5000,1286.5500,1302.0000,1281.2500,58002
2024-05-10,BHARTIARTL.BSE,1274.1000,1302.6000,1308.2000,1272.0000,201241
2024-05-09,BHARTIARTL.BSE,1287.0000,1275.6000,1294.8500,1269.8500,64869
2024-05-08,BHARTIARTL.BSE,1272.1500,1288.7000,1299.6500,1272.1500,24742
2024-05-07,BHARTIARTL.BSE,1285.0000,1284.8500,1294.1000,1271.0500,33163
2024-05-06,BHARTIARTL.BSE,1279.9500,1283.3500,1298.5000,1276.0000,40436
2024-05-03,BHARTIARTL.BSE,1309.5500,1276.7500,1309.5500,1258.2500,238027
2024-05-02,BHARTIARTL.BSE,1317.9500,1306.1500,1320.0500,1294.0000,106885
2024-04-30,BHARTIARTL.BSE,1326.3500,1322.8500,1334.5500,1320.0500,128197
2024-04-29,BHARTIARTL.BSE,1329.3500,1333.2500,1345.7500,1320.2500,51102
2024-04-26,BHARTIARTL.BSE,1338.0000,1325.5000,1344.3000,1321.5000,134981
2024-04-25,BHARTIARTL.BSE,1332.7000,1335.9500,1343.0000,1324.5000,84600
2024-04-24,BHARTIARTL.BSE,1364.0500,1336.2500,1364.0500,1333.8000,111467
2024-04-23,BHARTIARTL.BSE,1314.3500,1342.3000,1350.9000,1302.8000,482182
2024-04-22,BHARTIARTL.BSE,1301.1500,1298.4500,1305.9000,1288.5000,129889
2024-04-19,BHARTIARTL.BSE,1278.7000,1288.9000,1296.4500,1253.1500,308645
2024-04-18,BHARTIARTL.BSE,1218.6500,1267.2000,1281.4000,1215.7000,436832
2024-04-16,BHARTIARTL.BSE,1224.9500,1216.7000,1234.0000,1212.1000,46540
2024-04-15,BHARTIARTL.BSE,1201.3000,1225.0500,1234.5500,1201.3000,34783
2024-04-12,BHARTIARTL.BSE,1231.8500,1225.2000,1231.8500,1219.3500,255730
2024-04-10,BHARTIARTL.BSE,1215.8000,1229.3000,1230.5500,1210.7500,49348
2024-04-09,BHARTIARTL.BSE,1218.2500,1203.8500,1218.2500,1198.6500,30337
2024-04-08,BHARTIARTL.BSE,1191.0000,1204.1500,1210.1000,1183.6000,79900
2024-04-05,BHARTIARTL.BSE,1208.1000,1191.5500,1211.3000,1189.0000,123054
2024-04-04,BHARTIARTL.BSE,1234.9000,1206.9500,1234.9000,1201.9500,29398
2024-04-03,BHARTIARTL.BSE,1202.5500,1225.4000,1240.6000,1189.5000,273855
2024-04-02,BHARTIARTL.BSE,1222.0500,1208.4000,1225.4500,1203.5500,88168
2024-04-01,BHARTIARTL.BSE,1227.9500,1217.8000,1230.4500,1207.8000,86752
2024-03-28,BHARTIARTL.BSE,1238.6500,1229.0500,1238.6500,1220.3500,92209
2024-03-27,BHARTIARTL.BSE,1215.9500,1224.7000,1228.0000,1210.0500,374066
2024-03-26,BHARTIARTL.BSE,1232.7500,1216.0500,1233.4500,1211.1500,250616
2024-03-22,BHARTIARTL.BSE,1227.0000,1235.8000,1244.9500,1220.8000,4235017
2024-03-21,BHARTIARTL.BSE,1243.9500,1221.8000,1243.9500,1214.4500,407138
