Date,Company,Open,Close,High,Low,Volume
2024-05-31,HDFCBANK.BSE,1519.9000,1530.8500,1535.0000,1514.5000,1100000
2024-05-30,HDFCBANK.BSE,1500.0000,1514.6000,1524.0000,1498.2500,335390
2024-05-29,HDFCBANK.BSE,1523.5500,1507.8500,1523.8500,1501.7000,1320000
2024-05-28,HDFCBANK.BSE,1527.9500,1530.5000,1535.4500,1524.9000,600350
2024-05-27,HDFCBANK.BSE,1523.3500,1527.9500,1544.9500,1519.0000,1040000
2024-05-24,HDFCBANK.BSE,1489.4500,1516.6500,1519.9500,1487.1000,592210
2024-05-23,HDFCBANK.BSE,1458.0000,1492.2000,1495.0000,1457.6000,833670
2024-05-22,HDFCBANK.BSE,1462.1000,1459.7500,1465.7000,1449.0000,168710
2024-05-21,HDFCBANK.BSE,1454.0000,1458.4000,1469.7500,1454.0000,181980
2024-05-18,HDFCBANK.BSE,1464.2500,1465.4000,1468.9500,1463.4000,68410
2024-05-17,HDFCBANK.BSE,1455.0000,1464.9000,1468.0000,1449.0000,692540
2024-05-16,HDFCBANK.BSE,1442.5500,1460.1500,1462.0000,1436.0000,458835
2024-05-15,HDFCBANK.BSE,1459.6000,1438.8500,1459.6000,1436.0000,531031
2024-05-14,HDFCBANK.BSE,1450.6500,1461.8000,1465.3000,1450.1500,351466
2024-05-13,HDFCBANK.BSE,1432.9000,1455.8000,1460.4500,1430.1500,931573
2024-05-10,HDFCBANK.BSE,1441.0000,1437.6000,1452.1500,1432.0000,833752
2024-05-09,HDFCBANK.BSE,1490.0000,1448.3000,1490.0000,1445.5500,184828
2024-05-08,HDFCBANK.BSE,1496.0000,1482.2000,1496.6500,1480.5500,446454
2024-05-07,HDFCBANK.BSE,1522.0000,1506.4000,1524.0500,1504.4000,400250
2024-05-06,HDFCBANK.BSE,1520.0500,1522.8000,1534.5000,1518.0000,248692
2024-05-03,HDFCBANK.BSE,1534.4000,1518.6500,1540.0000,1507.2500,715787
2024-05-02,HDFCBANK.BSE,1520.4500,1533.0000,1537.2000,1520.0500,198548
2024-04-30,HDFCBANK.BSE,1530.0000,1517.0500,1539.4000,1514.4000,248830
2024-04-29,HDFCBANK.BSE,1514.0000,1528.8000,1533.9500,1506.5000,415345
2024-04-26,HDFCBANK.BSE,1518.3500,1509.7500,1527.8500,1505.7500,621831
2024-04-25,HDFCBANK.BSE,1508.5000,1510.6500,1519.0000,1508.0000,194898
2024-04-24,HDFCBANK.BSE,1515.0500,1510.9500,1521.7000,1508.7500,153513
2024-04-23,HDFCBANK.BSE,1520.0000,1507.2000,1525.1000,1503.1000,465553
2024-04-22,HDFCBANK.BSE,1550.3500,1512.3000,1556.5000,1507.9500,1254779
2024-04-19,HDFCBANK.BSE,1487.8500,1531.3000,1535.2000,1480.5500,844129
2024-04-18,HDFCBANK.BSE,1516.3000,1494.6000,1518.8500,1490.7500,498958
2024-04-16,HDFCBANK.BSE,1486.9500,1509.4000,1513.0000,1482.1500,471153
2024-04-15,HDFCBANK.BSE,1500.0000,1494.9500,1510.0000,1492.5500,532613
2024-04-12,HDFCBANK.BSE,1523.6000,1518.9000,1530.0000,1513.5000,931182
2024-04-10,HDFCBANK.BSE,1548.7500,1535.8000,1549.3000,1533.2500,466432
2024-04-09,HDFCBANK.BSE,1555.5500,1548.6000,1555.5500,1540.1000,162632
2024-04-08,HDFCBANK.BSE,1557.7000,1546.0500,1557.7000,1541.5000,303093
2024-04-05,HDFCBANK.BSE,1543.0000,1549.4000,1554.0000,1530.0000,1471714
2024-04-04,HDFCBANK.BSE,1505.0000,1527.9000,1529.8500,1505.0000,1962848
2024-04-03,HDFCBANK.BSE,1473.3500,1482.5500,1495.6000,1471.4500,220638
2024-04-02,HDFCBANK.BSE,1466.6000,1479.9500,1494.6500,1465.5000,288918
2024-04-01,HDFCBANK.BSE,1459.0000,1470.1500,1473.2500,1456.1000,781302
2024-03-28,HDFCBANK.BSE,1440.0000,1448.2000,1459.7000,1440.0000,1170187
2024-03-27,HDFCBANK.BSE,1423.9000,1440.7000,1446.9500,1421.0500,923355
2024-03-26,HDFCBANK.BSE,1428.7500,1426.9000,1438.5000,1422.1000,1056158
2024-03-22,HDFCBANK.BSE,1437.3000,1442.9500,1450.7000,1437.3000,783356
2024-03-21,HDFCBANK.BSE,1440.0500,1445.1000,1450.9000,1438.2500,727949
2024-03-20,HDFCBANK.BSE,1448.8000,1431.1000,1451.6000,1424.7500,211454
2024-03-19,HDFCBANK.BSE,1432.4000,1448.9500,1451.8500,1432.4000,478463
2024-03-18,HDFCBANK.BSE,1447.9500,1446.2000,1455.9500,1436.0000,339053
2024-03-15,HDFCBANK.BSE,1451.9500,1452.2000,1459.4500,1441.7000,1591334
