Date,Company,Open,Close,High,Low,Volume
2024-05-31,HINDUNILVR.BSE,2360.8500,2328.7000,2377.9000,2317.9500,339610
2024-05-30,HINDUNILVR.BSE,2366.0500,2349.5500,2372.8000,2334.4500,64441
2024-05-29,HINDUNILVR.BSE,2390.0000,2372.4000,2393.2000,2367.7500,46806
2024-05-28,HINDUNILVR.BSE,2383.7000,2393.3000,2410.0000,2379.2000,39139
2024-05-27,HINDUNILVR.BSE,2369.9000,2383.6500,2399.0000,2361.6500,99898
2024-05-24,HINDUNILVR.BSE,2380.9000,2369.9000,2383.6000,2364.6000,101297
2024-05-23,HINDUNILVR.BSE,2366.9000,2380.6500,2387.6500,2355.5000,47697
2024-05-22,HINDUNILVR.BSE,2319.8500,2366.8000,2374.9000,2313.0000,47441
2024-05-21,HINDUNILVR.BSE,2318.0000,2310.2500,2324.5500,2301.6500,55640
2024-05-17,HINDUNILVR.BSE,2349.1000,2319.4500,2349.1000,2314.1500,169545
2024-05-16,HINDUNILVR.BSE,2338.9500,2342.8500,2348.5000,2301.4500,55759
2024-05-15,HINDUNILVR.BSE,2353.8500,2321.7500,2355.0000,2319.0000,19542
2024-05-14,HINDUNILVR.BSE,2351.2500,2349.3500,2372.7000,2346.6000,14061
2024-05-13,HINDUNILVR.BSE,2365.1500,2360.3000,2380.0000,2348.0000,32350
2024-05-10,HINDUNILVR.BSE,2321.0000,2357.1000,2371.0000,2321.0000,131379
2024-05-09,HINDUNILVR.BSE,2359.7500,2324.9500,2360.9500,2320.2500,42293
2024-05-08,HINDUNILVR.BSE,2368.8500,2340.3500,2371.2000,2324.1500,119552
2024-05-07,HINDUNILVR.BSE,2268.9500,2379.6000,2389.7500,2260.0000,225989
2024-05-06,HINDUNILVR.BSE,2225.0000,2255.3500,2260.0000,2211.8500,33061
2024-05-03,HINDUNILVR.BSE,2230.0000,2215.5000,2235.5500,2204.0000,115888
2024-05-02,HINDUNILVR.BSE,2209.9500,2225.4500,2243.4000,2209.9500,86317
2024-04-30,HINDUNILVR.BSE,2234.3500,2230.7000,2239.9500,2225.0000,153865
2024-04-29,HINDUNILVR.BSE,2250.6000,2226.9500,2250.6000,2220.0000,104135
2024-04-26,HINDUNILVR.BSE,2235.7500,2221.5000,2254.8500,2217.7000,207544
2024-04-25,HINDUNILVR.BSE,2246.7500,2231.0000,2246.7500,2215.2500,59337
2024-04-24,HINDUNILVR.BSE,2267.3500,2259.1500,2268.6500,2245.0000,103326
2024-04-23,HINDUNILVR.BSE,2250.4500,2262.7500,2273.7500,2248.7000,82401
2024-04-22,HINDUNILVR.BSE,2245.8000,2242.5500,2252.9000,2229.0000,55738
2024-04-19,HINDUNILVR.BSE,2223.4000,2232.2500,2244.3500,2195.6500,203380
2024-04-18,HINDUNILVR.BSE,2230.9500,2214.9500,2237.8500,2210.1000,115031
2024-04-16,HINDUNILVR.BSE,2185.2500,2220.9000,2232.0000,2170.2500,88364
2024-04-15,HINDUNILVR.BSE,2229.7500,2194.6000,2229.7500,2190.1500,415634
2024-04-12,HINDUNILVR.BSE,2256.7000,2233.0000,2264.5000,2228.8500,251853
2024-04-10,HINDUNILVR.BSE,2274.0000,2263.2000,2274.0000,2259.0000,176211
2024-04-09,HINDUNILVR.BSE,2270.0000,2264.3500,2274.5000,2256.0000,56741
2024-04-08,HINDUNILVR.BSE,2283.6000,2269.1500,2288.5500,2267.7000,64452
2024-04-05,HINDUNILVR.BSE,2267.0000,2267.7000,2280.2000,2259.0000,169503
2024-04-04,HINDUNILVR.BSE,2274.9500,2265.5500,2281.6000,2250.3000,96844
2024-04-03,HINDUNILVR.BSE,2285.7000,2265.8000,2285.7000,2261.7500,43039
2024-04-02,HINDUNILVR.BSE,2288.8000,2286.5000,2295.0000,2277.0000,119151
2024-04-01,HINDUNILVR.BSE,2268.0000,2286.6500,2294.8500,2261.8000,73015
2024-03-28,HINDUNILVR.BSE,2240.6500,2268.2500,2287.8500,2240.1000,212953
2024-03-27,HINDUNILVR.BSE,2245.0500,2240.0000,2263.0000,2235.9000,122690
2024-03-26,HINDUNILVR.BSE,2228.9500,2240.7000,2259.3500,2222.0000,74553
2024-03-22,HINDUNILVR.BSE,2241.9500,2256.2500,2265.3500,2230.8500,265737
2024-03-21,HINDUNILVR.BSE,2239.3500,2242.6000,2258.5500,2237.0000,204793
2024-03-20,HINDUNILVR.BSE,2253.7000,2241.8000,2265.8500,2240.0000,92764
2024-03-19,HINDUNILVR.BSE,2285.0000,2269.3000,2304.6000,2246.9000,171028
2024-03-18,HINDUNILVR.BSE,2318.5000,2300.0500,2323.2500,2296.9000,98732
2024-03-15,HINDUNILVR.BSE,2335.9500,2327.9000,2338.1000,2316.0000,262540
2024-03-14,HINDUNILVR.BSE,2320.0000,2335.2000,2341.3500,2300.0000,86439
2024-03-13,HINDUNILVR.BSE,2377.8000,2313.8500,2377.8000,2305.0000,180939
2024-03-12,HINDUNILVR.BSE,2384.6000,2378.1500,2384.6000,2361.3000,18495
2024-03-11,HINDUNILVR.BSE,2418.3000,2388.1000,2418.3000,2383.4500,88249
2024-03-07,HINDUNILVR.BSE,2402.0500,2420.6500,2427.0000,2402.0500,97504
2024-03-06,HINDUNILVR.BSE,2400.6000,2400.7000,2405.4500,2376.0000,47902
2024-03-05,HINDUNILVR.BSE,2416.7000,2398.0500,2418.7000,2391.9000,146464
2024-03-04,HINDUNILVR.BSE,2419.4500,2421.2000,2427.5000,2405.2000,43271
2024-03-01,HINDUNILVR.BSE,2412.5500,2412.8500,2438.6000,2403.7500,153027
2024-02-29,HINDUNILVR.BSE,2423.7000,2411.0500,2429.6500,2397.8000,40358
