Date,Company,Open,Close,High,Low,Volume
2024-05-31,ICICIBANK.BSE,1119.2500,1119.6500,1130.4000,1111.5000,1375459
2024-05-30,ICICIBANK.BSE,1100.7500,1114.8500,1120.6000,1097.6500,244136
2024-05-29,ICICIBANK.BSE,1111.0500,1102.2500,1123.3500,1098.7000,188192
2024-05-28,ICICIBANK.BSE,1131.7500,1126.9000,1134.9500,1125.0000,122710
2024-05-27,ICICIBANK.BSE,1131.2000,1130.1000,1147.9000,1122.0000,946703
2024-05-24,ICICIBANK.BSE,1130.0000,1131.2500,1134.8000,1124.1000,470470
2024-05-23,ICICIBANK.BSE,1115.0000,1134.8000,1137.0000,1111.1500,290215
2024-05-22,ICICIBANK.BSE,1122.1500,1112.6500,1124.8000,1098.4500,141738
2024-05-21,ICICIBANK.BSE,1120.2500,1120.6500,1133.2000,1119.0000,120175
2024-05-18,ICICIBANK.BSE,1130.0000,1132.4000,1132.4000,1125.4000,10616
2024-05-17,ICICIBANK.BSE,1131.6500,1130.4500,1141.9000,1121.0000,570751
2024-05-16,ICICIBANK.BSE,1132.1000,1131.2000,1136.5000,1112.8000,194807
2024-05-15,ICICIBANK.BSE,1120.6500,1124.6000,1127.4000,1113.8000,292828
2024-05-14,ICICIBANK.BSE,1124.1000,1120.8000,1127.8500,1118.7500,212388
2024-05-13,ICICIBANK.BSE,1111.4000,1127.5500,1130.5000,1107.0000,757959
2024-05-10,ICICIBANK.BSE,1117.4000,1116.7000,1128.8500,1112.4500,532975
2024-05-09,ICICIBANK.BSE,1120.0000,1115.5500,1128.7500,1110.2000,115899
2024-05-08,ICICIBANK.BSE,1125.4000,1123.0000,1132.1500,1116.4000,74265
2024-05-07,ICICIBANK.BSE,1146.8000,1131.7500,1152.9000,1126.6500,210496
2024-05-06,ICICIBANK.BSE,1142.1500,1148.8000,1158.7500,1140.0000,811624
2024-05-03,ICICIBANK.BSE,1144.8500,1142.0000,1157.5500,1135.5000,464950
2024-05-02,ICICIBANK.BSE,1144.0000,1139.9000,1155.5000,1133.4000,243935
2024-04-30,ICICIBANK.BSE,1160.0000,1152.0500,1169.3000,1147.0000,243690
2024-04-29,ICICIBANK.BSE,1109.3500,1158.8000,1163.2500,1109.0000,805146
2024-04-26,ICICIBANK.BSE,1112.1500,1107.1500,1116.4500,1102.6500,508151
2024-04-25,ICICIBANK.BSE,1091.0000,1113.0500,1125.0000,1090.9000,524267
2024-04-24,ICICIBANK.BSE,1091.6000,1096.8500,1098.2000,1088.8000,149467
2024-04-23,ICICIBANK.BSE,1098.4500,1090.2500,1098.4500,1082.8000,444368
2024-04-22,ICICIBANK.BSE,1078.5000,1087.0500,1088.7500,1071.1500,764571
2024-04-19,ICICIBANK.BSE,1053.4000,1066.4000,1071.0000,1048.3500,890899
2024-04-18,ICICIBANK.BSE,1073.2000,1055.4500,1077.5500,1050.6000,406951
2024-04-16,ICICIBANK.BSE,1070.0000,1067.5500,1073.9000,1062.8000,455153
2024-04-15,ICICIBANK.BSE,1096.0500,1078.8000,1105.9500,1076.6500,715402
2024-04-12,ICICIBANK.BSE,1102.7500,1104.1500,1111.7500,1096.0000,775544
2024-04-10,ICICIBANK.BSE,1108.8000,1109.4500,1116.4500,1105.1000,171281
2024-04-09,ICICIBANK.BSE,1093.7500,1107.2000,1115.0500,1089.0000,166070
2024-04-08,ICICIBANK.BSE,1081.9500,1086.8500,1091.2500,1078.3500,288924
2024-04-05,ICICIBANK.BSE,1072.0000,1082.3500,1086.4000,1068.2000,317606
2024-04-04,ICICIBANK.BSE,1085.5500,1076.8500,1085.5500,1063.2500,303370
2024-04-03,ICICIBANK.BSE,1076.8500,1077.1000,1083.1000,1073.5000,152571
2024-04-02,ICICIBANK.BSE,1095.0000,1081.3000,1095.0000,1079.5000,129602
2024-04-01,ICICIBANK.BSE,1097.0000,1099.2500,1102.5500,1094.8500,317812
2024-03-28,ICICIBANK.BSE,1084.0000,1095.8500,1105.1000,1084.0000,1356859
2024-03-27,ICICIBANK.BSE,1088.9500,1084.0000,1092.0000,1079.3000,619420
