Date,Company,Open,Close,High,Low,Volume
2024-05-31,INFY.BSE,1413.0000,1406.2500,1436.5000,1400.0000,692017
2024-05-30,INFY.BSE,1447.9500,1425.7500,1449.9000,1421.7000,515228
2024-05-29,INFY.BSE,1469.9500,1451.6000,1469.9500,1448.7000,206028
2024-05-28,INFY.BSE,1477.0000,1466.2000,1477.0000,1461.0000,368764
2024-05-27,INFY.BSE,1467.8000,1471.6000,1479.5000,1460.5000,92422
2024-05-24,INFY.BSE,1471.7500,1465.0000,1475.2000,1459.1500,367838
2024-05-23,INFY.BSE,1456.1500,1472.9000,1478.1500,1451.9000,222189
2024-05-22,INFY.BSE,1434.6500,1454.6500,1459.9000,1429.5000,337362
2024-05-21,INFY.BSE,1439.9500,1434.2000,1444.0000,1428.7500,181992
2024-05-18,INFY.BSE,1445.0000,1443.7500,1465.9500,1442.1000,12182
2024-05-17,INFY.BSE,1455.4500,1444.0500,1455.4500,1439.5000,284528
2024-05-16,INFY.BSE,1431.0000,1452.9000,1455.5000,1428.0000,421731
2024-05-15,INFY.BSE,1424.6500,1420.7500,1431.0000,1419.0000,280110
2024-05-14,INFY.BSE,1425.1500,1424.8500,1433.4500,1418.0000,88849
2024-05-13,INFY.BSE,1425.1500,1423.2500,1425.1500,1411.1500,180542
2024-05-10,INFY.BSE,1436.9500,1425.1500,1436.9500,1413.1500,237684
2024-05-09,INFY.BSE,1428.6000,1438.7500,1449.6500,1425.0000,318603
2024-05-08,INFY.BSE,1431.3000,1427.3500,1441.4500,1426.1000,64739
2024-05-07,INFY.BSE,1425.5000,1440.7500,1443.0000,1416.0000,173851
2024-05-06,INFY.BSE,1416.4500,1425.8000,1445.0000,1416.4500,276183
2024-05-03,INFY.BSE,1423.5000,1416.4500,1424.3000,1403.1000,361945
2024-05-02,INFY.BSE,1414.9500,1414.8500,1423.5500,1412.0000,286211
2024-04-30,INFY.BSE,1436.6500,1421.1000,1436.6500,1418.1000,214453
2024-04-29,INFY.BSE,1432.8000,1435.0000,1439.7500,1428.4000,90788
2024-04-26,INFY.BSE,1438.6500,1430.1500,1445.4500,1426.4000,243145
2024-04-25,INFY.BSE,1421.9500,1438.4000,1444.5000,1420.0000,265074
2024-04-24,INFY.BSE,1443.1500,1431.8500,1444.4500,1427.0500,368271
2024-04-23,INFY.BSE,1442.0500,1441.7000,1446.8000,1433.4000,216933
2024-04-22,INFY.BSE,1421.3500,1432.5000,1434.9000,1413.1500,437372
2024-04-19,INFY.BSE,1387.0000,1411.6000,1426.7500,1379.7000,864596
2024-04-18,INFY.BSE,1422.6000,1420.5500,1444.5000,1408.0000,732684
2024-04-16,INFY.BSE,1451.0000,1414.7500,1454.8500,1413.0500,1097764
2024-04-15,INFY.BSE,1471.3000,1468.3000,1491.8000,1461.0000,598940
2024-04-12,INFY.BSE,1509.4500,1485.0500,1509.4500,1479.4000,507356
2024-04-10,INFY.BSE,1501.6000,1506.7000,1509.9500,1485.0000,145013
2024-04-09,INFY.BSE,1488.5500,1494.7000,1513.4000,1488.0000,534189
2024-04-08,INFY.BSE,1488.9500,1477.0500,1490.5000,1475.0000,445110
2024-04-05,INFY.BSE,1482.2500,1479.5000,1486.7000,1476.0500,171130
2024-04-04,INFY.BSE,1490.0000,1486.6000,1495.0000,1468.2000,302879
2024-04-03,INFY.BSE,1481.9500,1480.7500,1494.9000,1475.0000,496136
2024-04-02,INFY.BSE,1489.9000,1483.2000,1492.0000,1481.1000,267682
2024-04-01,INFY.BSE,1521.2500,1495.8000,1528.0000,1493.0000,296239
2024-03-28,INFY.BSE,1487.6000,1498.8000,1511.4500,1487.6000,373978
2024-03-27,INFY.BSE,1495.0000,1484.1000,1499.0000,1482.0000,146371
2024-03-26,INFY.BSE,1497.8500,1492.4500,1507.7500,1488.0000,222382
2024-03-22,INFY.BSE,1517.9500,1508.8500,1529.0000,1497.6500,6022096
2024-03-21,INFY.BSE,1560.5500,1555.2000,1576.4500,1544.0000,128746
2024-03-20,INFY.BSE,1562.0000,1554.6000,1573.8500,1552.6000,129545
2024-03-19,INFY.BSE,1595.6000,1561.9500,1599.0000,1558.1000,233098
2024-03-18,INFY.BSE,1632.0500,1602.3000,1632.6500,1599.0000,168202
2024-03-15,INFY.BSE,1644.4500,1634.9000,1647.0000,1618.5000,309799
2024-03-14,INFY.BSE,1612.0500,1652.4500,1657.0000,1607.2500,254874
2024-03-13,INFY.BSE,1612.3000,1611.7000,1624.8500,1598.3000,240984
2024-03-12,INFY.BSE,1598.5000,1612.2000,1624.9500,1598.0500,180282
2024-03-11,INFY.BSE,1608.9000,1599.4500,1612.2500,1588.0000,201766
2024-03-07,INFY.BSE,1617.3000,1616.9500,1628.4500,1605.0000,172250
2024-03-06,INFY.BSE,1600.1000,1617.3000,1619.9500,1576.1000,257845
2024-03-05,INFY.BSE,1633.6500,1606.2000,1636.6000,1602.1000,314321
2024-03-04,INFY.BSE,1655.7500,1637.8500,1662.2500,1633.2000,291654
2024-03-01,INFY.BSE,1672.0500,1655.0500,1672.5000,1652.0000,324749
2024-02-29,INFY.BSE,1655.1500,1675.0500,1682.0000,1653.5000,79116
2024-02-28,INFY.BSE,1672.0000,1670.1000,1687.5000,1662.4000,193133
2024-02-27,INFY.BSE,1655.2000,1664.7500,1670.9500,1653.0000,99507
