Date,Company,Open,Close,High,Low,Volume
2024-05-31,ITC.BSE,427.4500,426.1500,429.4000,424.2500,1360000
2024-05-30,ITC.BSE,429.9500,424.0500,430.9500,422.4000,378760
2024-05-29,ITC.BSE,427.9500,430.8000,432.3500,426.0500,430910
2024-05-28,ITC.BSE,432.0000,428.9000,434.0000,428.2500,473840
2024-05-27,ITC.BSE,437.8000,431.5000,438.8500,430.8000,312980
2024-05-24,ITC.BSE,441.8500,436.1000,442.4500,435.2000,723490
2024-05-23,ITC.BSE,441.4500,441.2000,445.0000,436.6500,767760
2024-05-22,ITC.BSE,436.9000,439.7500,442.0000,435.5000,713690
2024-05-21,ITC.BSE,436.5000,434.9500,437.0500,433.3000,280370
2024-05-18,ITC.BSE,437.0000,436.5000,437.5000,435.3500,99510
2024-05-17,ITC.BSE,431.9000,436.6000,437.7000,429.0000,604420
2024-05-16,ITC.BSE,429.1500,431.2500,432.4500,423.1000,648952
2024-05-15,ITC.BSE,430.4500,427.8500,433.2000,426.8000,312010
2024-05-14,ITC.BSE,430.0500,429.7000,433.3500,428.7000,346692
2024-05-13,ITC.BSE,433.8500,431.8500,435.5000,429.5000,179854
2024-05-10,ITC.BSE,425.8500,433.2000,436.3000,425.8500,994647
2024-05-09,ITC.BSE,440.5500,425.2000,440.9500,423.3500,873692
2024-05-08,ITC.BSE,441.7000,440.9000,444.6500,438.2000,597203
2024-05-07,ITC.BSE,436.3500,440.4000,446.1500,434.9000,758244
2024-05-06,ITC.BSE,437.0500,434.6000,440.4500,433.0000,704209
2024-05-03,ITC.BSE,439.5500,436.2500,439.9000,431.5000,843367
2024-05-02,ITC.BSE,436.4500,439.1000,442.5000,434.9000,284073
2024-04-30,ITC.BSE,439.4500,435.6000,440.4500,435.0500,181604
2024-04-29,ITC.BSE,442.5000,438.0000,442.5000,434.6000,303544
2024-04-26,ITC.BSE,439.7500,439.9500,443.4500,436.2000,863516
2024-04-25,ITC.BSE,431.0000,437.5000,438.2000,429.0000,409133
2024-04-24,ITC.BSE,429.2000,428.8500,430.8000,428.2500,347235
2024-04-23,ITC.BSE,425.9500,429.2000,430.5000,425.2500,160441
2024-04-22,ITC.BSE,427.4000,425.2500,427.6000,423.3500,380393
2024-04-19,ITC.BSE,417.6000,424.8000,426.3000,416.3000,1183392
2024-04-18,ITC.BSE,426.4500,418.9500,426.5500,417.9000,695816
2024-04-16,ITC.BSE,423.7000,425.9500,427.0000,423.0000,356089
2024-04-15,ITC.BSE,425.0000,425.9000,429.0000,422.8000,806008
2024-04-12,ITC.BSE,436.3500,430.1000,436.3500,428.3500,1014529
2024-04-10,ITC.BSE,427.8000,436.9000,437.7500,425.7000,374842
2024-04-09,ITC.BSE,430.9500,426.3000,431.3000,425.7000,234337
2024-04-08,ITC.BSE,428.9500,429.0000,431.3500,427.8000,804878
2024-04-05,ITC.BSE,423.1000,427.8500,431.7500,420.0000,905233
2024-04-04,ITC.BSE,425.9500,422.7500,427.4000,420.0000,632788
2024-04-03,ITC.BSE,426.0000,425.3000,428.9000,421.0500,381454
2024-04-02,ITC.BSE,429.2500,425.8000,429.2500,424.6500,184630
2024-04-01,ITC.BSE,428.6000,426.6500,431.4500,425.7000,701487
2024-03-28,ITC.BSE,427.9500,428.5500,433.0500,427.1500,1109374
2024-03-27,ITC.BSE,427.6500,428.0000,429.0000,426.5000,223563
2024-03-26,ITC.BSE,426.8000,427.4500,429.1000,425.8500,221783
2024-03-22,ITC.BSE,421.2500,428.4500,429.6000,421.2500,1525884
2024-03-21,ITC.BSE,418.8000,421.2500,421.8500,416.2500,725215
2024-03-20,ITC.BSE,409.5500,415.7000,416.4500,409.5500,341377
2024-03-19,ITC.BSE,417.6000,409.5000,419.6000,408.7500,699406
2024-03-18,ITC.BSE,419.3500,417.4000,420.7000,416.9500,1021092
2024-03-15,ITC.BSE,418.8500,419.5500,428.5000,415.6000,1973464
2024-03-14,ITC.BSE,422.4000,419.8000,425.5500,418.0000,720374
2024-03-13,ITC.BSE,439.0000,422.4000,439.0000,421.2000,440739906
2024-03-12,ITC.BSE,405.8500,404.2500,405.9000,399.3000,2662012
2024-03-11,ITC.BSE,416.3500,409.4000,418.3500,408.5000,443847
2024-03-07,ITC.BSE,408.0000,413.3500,415.0000,403.6500,950495
2024-03-06,ITC.BSE,408.6500,407.7000,409.9500,400.8000,428410
2024-03-05,ITC.BSE,409.1500,406.1000,411.4500,404.0000,581451
2024-03-04,ITC.BSE,412.2000,409.1000,412.8000,408.5000,516518
2024-03-01,ITC.BSE,407.0500,409.5000,413.1000,407.0500,1032992
2024-02-29,ITC.BSE,408.5500,406.5000,410.9000,404.6500,753356
2024-02-28,ITC.BSE,411.8500,408.6000,412.3000,406.9500,707187
2024-02-27,ITC.BSE,410.0000,411.1500,412.7000,408.6000,628224
2024-02-26,ITC.BSE,410.4500,409.2000,413.0000,407.3500,916789
2024-02-23,ITC.BSE,416.0000,411.6000,416.0500,410.5500,875217
2024-02-22,ITC.BSE,406.7000,414.3000,415.0000,403.6000,471638
2024-02-21,ITC.BSE,407.5500,403.3000,410.0500,401.3500,571486
2024-02-20,ITC.BSE,411.0000,406.0500,411.0000,404.3000,684930
2024-02-19,ITC.BSE,405.0000,409.2000,412.6000,405.0000,1153216
2024-02-16,ITC.BSE,405.0000,404.7500,409.3000,399.5000,1925291
2024-02-15,ITC.BSE,413.5500,404.0000,413.6000,403.1500,1090574
