Date,Company,Open,Close,High,Low,Volume
2024-05-31,KOTAKBANK.BSE,1695.0500,1679.7000,1703.6500,1661.7500,366895
2024-05-30,KOTAKBANK.BSE,1680.2500,1690.6500,1707.3500,1680.2500,275510
2024-05-29,KOTAKBANK.BSE,1692.0500,1688.3000,1710.4500,1682.0500,86282
2024-05-28,KOTAKBANK.BSE,1719.8500,1702.2500,1719.8500,1699.5000,23070
2024-05-27,KOTAKBANK.BSE,1701.0500,1710.9500,1721.9000,1701.0500,311075
2024-05-24,KOTAKBANK.BSE,1700.1500,1703.0000,1717.7500,1694.5500,123527
2024-05-23,KOTAKBANK.BSE,1700.4500,1708.6500,1712.9500,1697.7000,149956
2024-05-22,KOTAKBANK.BSE,1707.0000,1700.4000,1707.0000,1681.0500,483253
2024-05-21,KOTAKBANK.BSE,1696.4000,1697.1000,1714.6000,1691.0000,46272
2024-05-18,KOTAKBANK.BSE,1690.0500,1699.0000,1702.0000,1689.1500,35456
2024-05-17,KOTAKBANK.BSE,1663.1500,1697.0000,1705.9500,1663.1500,216324
2024-05-16,KOTAKBANK.BSE,1652.0500,1671.9000,1675.0000,1648.1000,228244
2024-05-15,KOTAKBANK.BSE,1643.3000,1651.2500,1654.0000,1637.3000,89635
2024-05-14,KOTAKBANK.BSE,1640.2500,1646.1000,1649.8000,1633.0000,92928
2024-05-13,KOTAKBANK.BSE,1624.9500,1641.1500,1644.2500,1615.3500,373821
2024-05-10,KOTAKBANK.BSE,1644.0000,1630.5000,1653.0500,1615.7500,198710
2024-05-09,KOTAKBANK.BSE,1648.3500,1642.2500,1661.5500,1636.5000,249055
2024-05-08,KOTAKBANK.BSE,1640.0000,1648.6000,1657.0000,1635.3500,287858
2024-05-07,KOTAKBANK.BSE,1630.0000,1644.3000,1647.0000,1617.3000,393559
2024-05-06,KOTAKBANK.BSE,1600.0000,1624.7500,1633.0000,1595.1500,1127069
2024-05-03,KOTAKBANK.BSE,1584.6500,1547.2500,1587.3000,1544.1500,1645704
2024-05-02,KOTAKBANK.BSE,1596.0000,1575.8000,1596.0000,1552.5500,10526260
2024-04-30,KOTAKBANK.BSE,1643.7000,1623.7500,1647.0000,1621.0000,241364
2024-04-29,KOTAKBANK.BSE,1613.2000,1640.2500,1646.9500,1609.4000,370245
2024-04-26,KOTAKBANK.BSE,1644.0000,1608.4000,1654.8000,1605.0000,1112366
2024-04-25,KOTAKBANK.BSE,1675.0000,1643.0000,1689.4500,1620.0000,2544976
2024-04-24,KOTAKBANK.BSE,1806.6500,1843.0500,1845.5000,1806.6500,143115
2024-04-23,KOTAKBANK.BSE,1819.7500,1813.2500,1828.9000,1803.8000,70454
2024-04-22,KOTAKBANK.BSE,1800.2000,1809.8500,1822.0000,1800.2000,349574
2024-04-19,KOTAKBANK.BSE,1776.0000,1793.2000,1804.9500,1763.4000,203258
