Date,Company,Open,Close,High,Low,Volume
2024-05-31,RELIANCE.BSE,2864.6500,2859.6000,2884.2000,2843.2500,797290
2024-05-30,RELIANCE.BSE,2884.0000,2850.0000,2884.0000,2841.5000,54130
2024-05-29,RELIANCE.BSE,2897.0000,2881.4500,2916.1000,2877.0000,65080
2024-05-28,RELIANCE.BSE,2941.9500,2911.2500,2957.0000,2905.4000,116320
2024-05-27,RELIANCE.BSE,2960.8000,2932.4500,2967.4500,2924.0000,134570
2024-05-24,RELIANCE.BSE,2966.0000,2959.8000,2977.0000,2951.2000,456600
2024-05-23,RELIANCE.BSE,2918.3000,2973.2000,2983.5500,2912.0000,197060
2024-05-22,RELIANCE.BSE,2872.9000,2920.7500,2936.8000,2872.9000,110840
2024-05-21,RELIANCE.BSE,2859.0000,2871.3000,2883.0000,2852.9000,130910
2024-05-18,RELIANCE.BSE,2872.1000,2869.0500,2878.8000,2865.0000,9310
2024-05-17,RELIANCE.BSE,2842.3500,2870.7000,2874.8500,2826.0000,415360
2024-05-16,RELIANCE.BSE,2835.0000,2850.2000,2854.3000,2796.6000,71121
2024-05-15,RELIANCE.BSE,2845.0000,2831.1500,2859.4000,2825.5000,51822
2024-05-14,RELIANCE.BSE,2805.0000,2839.8000,2854.0500,2800.0000,137617
2024-05-13,RELIANCE.BSE,2798.0500,2805.3000,2813.1500,2768.0500,131567
2024-05-10,RELIANCE.BSE,2790.1500,2815.1500,2821.3500,2775.2000,382788
2024-05-09,RELIANCE.BSE,2859.0000,2786.8000,2859.0000,2780.0000,106347
2024-05-08,RELIANCE.BSE,2795.0000,2836.9500,2866.9500,2795.0000,278869
2024-05-07,RELIANCE.BSE,2832.0000,2803.9500,2840.7500,2785.0000,169570
2024-05-06,RELIANCE.BSE,2875.0000,2839.0000,2881.4500,2836.2500,143404
2024-05-03,RELIANCE.BSE,2938.5500,2868.5000,2949.1000,2832.7000,343554
2024-05-02,RELIANCE.BSE,2945.3500,2932.1000,2953.9000,2927.6500,124785
2024-04-30,RELIANCE.BSE,2930.9000,2931.1500,2965.0000,2927.0000,237096
2024-04-29,RELIANCE.BSE,2902.9500,2930.5000,2935.5500,2900.1000,194646
2024-04-26,RELIANCE.BSE,2925.1500,2903.0000,2930.0000,2900.0000,450580
2024-04-25,RELIANCE.BSE,2888.0000,2918.4000,2935.0000,2885.2000,192974
