Date,Company,Open,Close,High,Low,Volume
2024-05-31,TCS.BSE,3749.5000,3669.5000,3749.5000,3655.0000,350824
2024-05-30,TCS.BSE,3781.0000,3735.8000,3794.7000,3717.0000,169744
2024-05-29,TCS.BSE,3842.0000,3805.4500,3844.2500,3800.5500,93331
2024-05-28,TCS.BSE,3883.9500,3840.0000,3883.9500,3831.5500,27095
2024-05-27,TCS.BSE,3852.6499,3846.5500,3907.0000,3840.0000,99435
2024-05-24,TCS.BSE,3870.1499,3850.7500,3885.0000,3842.4500,163855
2024-05-23,TCS.BSE,3835.8000,3895.1001,3904.7500,3827.7000,39379
2024-05-22,TCS.BSE,3840.0000,3831.3501,3841.4500,3816.0000,88374
2024-05-21,TCS.BSE,3844.9500,3821.6499,3844.9500,3810.1001,90317
2024-05-18,TCS.BSE,3843.1499,3850.0000,3860.0000,3840.0000,4203
2024-05-17,TCS.BSE,3915.0500,3833.9500,3920.0000,3829.7000,223617
2024-05-16,TCS.BSE,3888.7500,3900.3000,3910.0000,3844.5000,33443
2024-05-15,TCS.BSE,3901.9500,3880.3501,3930.2000,3875.0500,71057
2024-05-14,TCS.BSE,3926.1499,3901.9500,3945.2000,3893.8000,19294
2024-05-13,TCS.BSE,3888.0000,3946.8000,3955.0000,3869.6499,68499
2024-05-10,TCS.BSE,3965.0000,3895.8501,3973.8000,3884.6499,119844
2024-05-09,TCS.BSE,3959.3501,3960.0500,3970.0000,3911.0500,24876
2024-05-08,TCS.BSE,3951.5500,3972.7000,3984.0000,3940.0500,25099
2024-05-07,TCS.BSE,3925.8501,3978.2500,3988.3000,3912.7000,68881
2024-05-06,TCS.BSE,3859.9500,3920.7000,3939.1001,3855.0000,53334
2024-05-03,TCS.BSE,3881.6499,3839.3501,3893.3000,3798.0500,149072
2024-05-02,TCS.BSE,3800.0000,3863.7500,3870.2000,3782.5000,76798
2024-04-30,TCS.BSE,3870.6001,3822.6001,3880.0000,3810.0000,98711
2024-04-29,TCS.BSE,3825.6001,3870.6001,3877.7000,3820.0000,22303
2024-04-26,TCS.BSE,3859.6499,3812.8501,3875.8501,3801.2500,114191
2024-04-25,TCS.BSE,3814.2000,3851.8501,3872.0000,3807.8000,86420
2024-04-24,TCS.BSE,3890.0000,3831.2500,3896.0000,3824.1499,38530
2024-04-23,TCS.BSE,3880.0000,3874.2000,3894.8999,3861.3999,61696
